"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "CSV", "Markdown", "comment", "blank", "total"
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\.VSCodeCounter\2025-04-18_11-24-12\details.md", "Markdown", 0, 0, 0, 0, 20, 0, 6, 26
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\.VSCodeCounter\2025-04-18_11-24-12\diff-details.md", "Markdown", 0, 0, 0, 0, 14, 0, 6, 20
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\.VSCodeCounter\2025-04-18_11-24-12\diff.csv", "CSV", 0, 0, 0, 7, 0, 0, 0, 7
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\.VSCodeCounter\2025-04-18_11-24-12\diff.md", "Markdown", 0, 0, 0, 0, 21, 0, 7, 28
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\.VSCodeCounter\2025-04-18_11-24-12\results.csv", "CSV", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\.VSCodeCounter\2025-04-18_11-24-12\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\.VSCodeCounter\2025-04-18_11-24-12\results.md", "Markdown", 0, 0, 0, 0, 25, 0, 7, 32
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\serviceAccountKey.json", "JSON", 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\config\firebase.ts", "TypeScript", 14, 0, 0, 0, 0, 3, 4, 21
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\config\firebaseAdmin.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\index.ts", "TypeScript", 6, 0, 0, 0, 0, 3, 2, 11
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\models\canva.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\realtime\events\chat.ts", "TypeScript", 48, 0, 0, 0, 0, 13, 18, 79
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\realtime\events\cursor.ts", "TypeScript", 22, 0, 0, 0, 0, 3, 5, 30
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\realtime\events\draw.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\realtime\socket.ts", "TypeScript", 61, 0, 0, 0, 0, -2, 5, 64
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\routes\api\canvasRoute.ts", "TypeScript", 178, 0, 0, 0, 0, 5, 38, 221
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\global.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\components\home\CanvasArea.tsx", "TypeScript JSX", 0, 60, 0, 0, 0, 4, 0, 64
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\components\home\Chat.tsx", "TypeScript JSX", 0, 299, 0, 0, 0, 3, 25, 327
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\components\home\Login.tsx", "TypeScript JSX", 0, 166, 0, 0, 0, 1, 14, 181
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\components\home\NavBar.tsx", "TypeScript JSX", 0, 101, 0, 0, 0, 3, 12, 116
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\frontend\src\components\home\OptionsPanel.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 4, 32
