"filename", "language", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\serviceAccountKey.json", "JSON", 0, 13, 0, 1, 14
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\config\firebase.ts", "TypeScript", 14, 0, 3, 4, 21
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\config\firebaseAdmin.ts", "TypeScript", 10, 0, 0, 3, 13
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\index.ts", "TypeScript", 16, 0, 3, 7, 26
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\models\canva.ts", "TypeScript", 14, 0, 0, 4, 18
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\realtime\events\chat.ts", "TypeScript", 48, 0, 13, 18, 79
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\realtime\events\cursor.ts", "TypeScript", 31, 0, 3, 7, 41
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\realtime\events\draw.ts", "TypeScript", 0, 0, 0, 1, 1
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\realtime\events\room.ts", "TypeScript", 56, 0, 4, 12, 72
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\realtime\socket.ts", "TypeScript", 114, 0, 2, 13, 129
"c:\Users\Abdessamed\Desktop\Full Stack Projects\echo-board\backend\src\routes\api\canvasRoute.ts", "TypeScript", 178, 0, 5, 38, 221
"Total", "-", 481, 13, 33, 108, 635
